id,word,description
18225,biosalong,"V-händer, riktade mot varandra och inåtvända, förs upp och ner växelvis framför ansiktet // 
Vinkelhänder, framåtriktade och vända mot varandra, kontakt med varandra, förs inåt i en utåtgående båge samtidigt som de slås från varandra, kontakt"
13529,benbrott,"Bokstaveras: B-E-N //
Pekfingret, framåtriktat och vänstervänt, förs nedåt med medial kontakt bredvid pekfingret, högerriktad och inåtvänd"
04822,plantera,"A-händer, framåtriktade och nedåtvända, förs framåt med upprepade korta nedåtrörelser"
03511,lyftkran,"Krokfingret, vänsterriktat och nedåtvänt, armbågen i kontakt med handen, förs åt höger samtidigt som det slås framåt"
19708,blåsa (visselpipa),"Måtthanden, vänsterriktad och inåtvänd, kontakt med munnen (huvudet förs kort framåt)"
07387,för tre veckor sedan,"Böjda W-handen, framåtriktad och nedåtvänd, förs inåt och uppåt över höger axel samtidigt som den slås uppåt"
23132,lokaltrafik,"Pekfingrar, nedåtriktade och inåtvända, kontakt med varandra, förs framåt i en utåtgående båge, kontakt //
4-händer, uppåtriktade och vända mot varandra, förs fram och in växelvis"
14393,tee,Bokstaveras: T-E-E
06618,Ängelholm,"Knutna handen, uppåtriktad och inåtvänd, upprepade kontakter med näsan"
13732,koldioxid,Bokstaveras: C-O-2
10229,unik,"H. H., som bilden visar, slår ned mot V. H. och återuppstudsar. 
Betyder egendomlig, unik, egenartad, egenskap. 
Tänka, form I + Unik = konstigt tänkesätt. 
Läs om Unik i ordboken!"
07432,gröt,"Knutna handen, vänsterriktad och nedåtvänd, förs inåt samtidigt som den vrids inåt, upprepas"
19244,simträning,"Flata händer, framåtriktade och nedåtvända, förs i cirklar från varandra //
Tumhanden, framåtriktad och nedåtvänd, förs åt vänster med medial kontakt ovanpå knutna handen, högerriktad och nedåtvänd, upprepas"
05916,romantik,"O-handen, vänsterriktad och uppåtvänd, kontakt med högra sidan av bröstet förs sedan kort uppåt samtidigt som den förändras till sprethand, upprepas"
08277,häpen,"Klohanden, framåtriktad och uppåtvänd, kontakt under hakan, förs sedan nedåt"
06300,spenat,"Knutna händer, uppåtriktade och vända mot varandra i huvudhöjd, slås kort mot varandra ett par gånger"
03212,tvärtom,"Pekfingrar, uppåtriktade och inåtvända, förs mot varandra samtidigt som de slås mot varandra och korsar varandra "
09729,krig,B. H. föras upp mot varandra och trycka varandra uppåt med spetsarna.
01370,delfin,"S-handen, uppåtriktad och vänstervänd, kontakt med näsan, förs framåt samtidigt som den förändras till knuten hand"
03355,cowboy,"Nyphanden, vänsterriktad och inåtvänd, kontakt med hakan, förändras till L-hand, kontakt"
06921,kallelse,"Vinkelhanden, framåtriktad och nedåtvänd, upprepade kontakt med ovanpå flata handen, högerriktad och inåtvänd //
Krokfingrar, framåtriktade och uppåtvända, den högra snett bakom den vänstra, böjs ett par gånger"
10435,baklucka,"Tumhanden, uppåtriktad och vänstervänd, förs bakåt över axeln //
Klohanden, vänsterriktad och nedåtvänd, kontakt ovanpå flata handen, högerriktad och nedåtvänd, slås uppåt, upprepas"
14039,dubbel koppelräck,"W-handen, vänsterriktad och inåtvänd, kontakt framför W-handen, högerriktad och inåtvänd, förs framåt"
07969,deflation,"Vinkelhänder, uppåtriktade och vända mot varandra, förs uppåt samtidigt som de vrids fram och in ett par gånger"
03554,alltid,H. H:s pekf. gör ett par slag mot högra kinden.
09684,komma,"Betyder nalkas, stunda."
01259,kurs,"A-händer, uppåtriktade och inåtvända, förs in mot pannan, upprepas"
14166,grusfotbollsplan,"Flata tumhanden, framåtriktad och nedåtvänd, kontakt ovanpå flata handen, högerriktad och uppåtvänd, förs uppåt samtidigt som den förändras till A-hand, upprepas //
Knuten hand, nedåtriktad och inåtvänd, förs framåt samtidigt som den slås framåt //
Vinkelhanden, uppåtriktad och vänstervänd, kontakt framför vinkelhanden, uppåtriktad och högervänd, förs framåt"
17483,äcklad,"Sprethanden, uppåtriktad och inåtvänd, kontakt under hakan, förs sedan framåt samtidigt som den slås framåt"
15319,fysik,"Stora nyphanden, uppåtriktad och vänstervänd, förs kort uppåt med bibehållen kontakt bredvid hakan, upprepas"
20369,röd dag,"Pekfingret, uppåtriktat och inåtvänt, kontakt med munnen, förändras sedan till E-hand //
Flata händer, framåtriktade och uppåtvända, förs nedåt"
01313,subvention,"A-handen, nedåtriktad och vänstervänd, förs uppåt till kontakt under flata handen, framåtriktad och nedåtvänd"
00051,januari,"Flata handen, uppåtriktad och vänstervänd, kontakt med hakan, förs framåt"
03913,svarvare,"Hållhänder, framåtriktade och uppåtvända, förs i uppåtgående cirklar mot varandra"
05165,pedagog,"A-händer, uppåtriktade och inåtvända, förs in mot pannan, upprepas"
01783,ramla omkull,"V-handen, nedåtriktad och inåtvänd, kontakt ovanpå flata handen, högerriktad och uppåtvänd, förs uppåt samtidigt som den slås åt vänster, förs slutligen nedåt till kontakt"
12438,ekvivalent,"V-händer, framåtriktade och vända mot varandra, slås ned, upprepas"
02739,beställa,"Pekfingret, uppåtriktat och vänstervänt, kontakt med munnen //
Pekfingret, framåtriktat och vänstervänt, förs nedåt till kontakt ovanpå knutna handen, högerriktad och inåtvänd"
05122,ved,"Flata handen, vänsterriktad och inåtvänd, upprepade kontakter ovanpå underarmen, framåtriktad och högervänd"
04850,helst,"Flata handen, vänsterriktad och inåtvänd, kontakt med bröstet, förs sedan uppåt samtidigt som den förändras till tumhanden"
08141,Chalmers,"Sprethanden, nedåtriktad och högervänd, slås fram och tillbaka vid sidan av halsen"
16460,vitlökspress,"Pekfingret, vänsterriktat och nedåtvänt, kontakt vid sidan av halsen, förs framåt samtidigt som det slås framåt //
Bokstaveras: L-Ö-K //
S-handen, nedåtriktad och vänstervänd, förs kort nedåt samtidigt som den förändras till knuten hand"
08606,dra ifrån,"Tumhanden, framåtriktad och vänstervänd, kontakt framför tumhanden, framåtriktad och högervänd, förs sedan snabbt framåt"
02266,skulle ha gjort,"Knutna händer, uppåtriktade och framåtvända, förs nedåt samtidigt som de slås framåt"
24259,verklighetsflykt,"N-handen, uppåtriktad och framåtvänd, förs kort framåt och sedan kort inåt (studsar) //
Bokstaveras: H-E-T //
N-handen, framåtriktad och nedåtvänd, förs framåt med medial kontakt under flata handen, högerriktad och nedåtvänd"
18084,Vårby,Bokstaveras: V-Å-R-B-Y
00976,tio tusen,"Flyghanden, uppåtriktad och inåtvänd, förs kort åt vänster och höger ett par gånger //
T-handen, framåtriktad och vänstervänd, förs framåt"
09276,wap,Bokstaveras: W-A-P
00240,att vara,"Sprethanden, uppåtriktad och inåtvänd, förs kort nedåt samtidigt som den förändras till pekfingret"
08990,standardmjölk,"RÖD (20373)//
MJÖLK (07492)"
19918,glass,"Tumhanden, vänsterriktad och inåtvänd, förs nedåt ett par gånger framför munnen"
15436,skyddat arbete,"Flata handen, uppåtriktad och framåtvänd, förs framåt med bibehållen kontakt framför flata handen, högerriktad och inåtvänd //
Flata händer, riktade mot varandra och inåtvända, förs fram och tillbaka växelvis med medial fingertoppskontakt med varandra"
03542,tid,"Krokfingret, framåtriktat och nedåtvänt, upprepade kontakter med högerriktade och nedåtvända flata handens handled"
17826,arbetshjälpmedel,"Flata händer, riktade mot varandra och inåtvända, förs fram och tillbaka växelvis med medial fingertoppskontakt med varandra //
Flata händer, framåtriktade och uppåtvända, förs uppåt med bibehållen korskontakt ovanpå varandra //
Knutna händer, framåtriktade och vända mot varandra, upprepade kontakter med varandra"
18743,villkorlig,"Pekfingret, framåtriktat och nedåtvänt, förs kort inåt samtidigt som det slås nedåt"
15432,CV,Bokstaveras: C-V
03444,Afrika,"L-handen, vänsterriktad och inåtvänd, kontakt ovanför munnen //
Flata handen, vänsterriktad och inåtvänd, förs nedåt framför ansiktet"
02619,Tintin,Bokstaveras: T-I-N-T-I-N
04211,tekniker,"V-handen, vänsterriktad och nedåtvänd, kontakt bredvid flata handen, framåtriktad och högervänd, vrids inåt, kontakt"
15253,Instagram,"Måtthanden, uppåtriktad och vänstervänd, förs uppåt med bibehållen kontakt framför flata handen, uppåtriktad och framåtvänd, upprepas"
10420,studentavslutning,"Hållhanden, framåtriktad och vänstervänd, förs kort uppåt samtidigt som den slås uppåt framför pannan //
Flata handen, uppåtriktad och inåtvänd, förs nedåt bakom flata handen, högerriktad och inåtvänd, samtyidigt som den slås nedåt"
12939,hjärtattack,"Vinkelhanden, vänsterriktad och inåtvänd, upprepade kontakter med vänstra sidan av bröstet //
Sprethanden, vänsterriktad och inåtvänd, förs inåt samtidigt som den förändras till knuten hand, kontakt med vänstra sidan av bröstet"
02177,hålla,"Knutna händer, framåtriktade och vända mot varandra, den högra kontakt ovanpå den vänstra, hålles stilla"
12422,egenvektor,"Tumhanden, vänsterriktad och nedåtvänd, kontakt med bröstet, vrids sedan inåt, kontakt //
Pekfingrar, framåtriktade och nedåtvända, kontakt med varandra, divergerar framåt och uppåt"
16563,Böle,"Klohänder, framåtriktade och vända mot varandra, förs uppåt samtidigt som de förändras till knutna händer"
23185,höra talas om,"Pekfingret, uppåtriktat och vänstervänt, kontakt med örat (samtidigt som huvudet förs kort framåt)"
15636,bibel,"N-handen, framåtriktad och nedåtvänd, förs inåt med bibehållen kontakt ovanpå flata handen, framåtriktad och uppåtvänd //
N-handen, vänsterriktad och uppåtvänd, förs åt höger med bibehållen kontakt ovanpå flata handen, framåtriktad och uppåtvänd"
05240,dagis,"S-handen, framåtriktad och nedåtvänd, hakas i högerriktade och nedåtvända knutna handens handled, slås nedåt ett par gånger med bibehållen kontakt"
02825,pistol,"Pekfingret, framåtriktat och vänstervänt, fingret böjs ett par gånger"
00492,irriterad,"Krokfingret, vänsterriktad och nedåtvänd, förs kort fram och tillbaka med bibehållen kontakt med underarmen"
07646,föregående,"Flata handen, vänsterriktad och inåtvänd, kontakt ovanpå flata handen, framåtriktad och högervänd, förs inåt, kontakt"
09144,önskemål,"Flata händer, riktade mot varandra och inåtvända, den ena ovanför den andra, förs nedåt växelvis med medial kontakt med bröstet, upprepas //
Bokstaveras: M-Å-L"
04146,nöjd,"Tupphanden, vänsterriktad och nedåtvänd, förs nedåt med medial kontakt med högra sidan av bröstet, upprepas"
04368,inspektera,"Dubbelkroken, uppåtriktad och framåtvänd, förs åt vänster och höger med medial kontakt ovanpå knutna handen, högerriktad och inåtvänd"
06152,Bjärnum,"Flata handen, uppåtriktad och vänstervänd, förs nedåt framför ansiktet //
Flata handen, vänsterriktad och nedåtvänd, förs åt höger framför ansiktet"
00456,mer,"Flata handen, framåtriktad och nedåtvänd, kontakt ovanpå flata handen, högerriktad och nedåtvänd, förs uppåt"
00657,våffla,"Flata händer, uppåtriktade och vända mot varandra, slås åt vänster och höger ett par gånger med bibehållen kontakt med varandra"
08916,dyna,"Tumvinkelhänder, uppåtriktade och vända mot varandra, förändras till A-händer ett par gånger"
19301,Beirut,"O-handen, framåtriktad och uppåtvänd, förs kort uppåt samtidigt som den förändras till sprethand, upprepas"
10212,trä,H. H. gör ett par huggrörelser mot vänstra armen under samtidig förflyttning uppåt.
08469,köttfärssås,"Klohanden, framåtriktad och nedåtvänd förs inåt med upprepade kontakter ovanpå flata handen, framåtriktad och uppåtvänd //
Bokstaveras: S-Å-S"
03470,förståndig,"Krokfingret, uppåtriktat och vänstervänt, upprepade kontakter bredvid pannan"
01328,nummer sju,"L-handen, uppåtriktad och inåtvänd, förs kort åt vänster och höger ett par gånger"
15292,tagga,"L-handen, framåtriktad och vänstervänd, förs kort åt vänster samtidigt som pekfingret böjs, hakas framför pekfingret, uppåtriktat och framåtvänt"
16457,hacka,"Flata handen, framåtriktad och vänstervänd, förs ned till kontakt ovanpå flata handen, högerriktad och uppåtvänd //
Flata handen, vänsterriktad och inåtvänd, förs ned till kontakt ovanpå flata handen, högerriktad och uppåtvänd"
04393,kärring,"Dubbelkroken, inåtriktad och vänstervänd, förs framåt med medial kontakt bredvid halsen, upprepas"
23157,grimma,"Flata tumhanden, uppåtriktad och vänstervänd, upprepade kontakter bredvid munnen"
04725,däck,"S-handen, vänsterriktad och uppåtvänd, förs i framåtgående cirkel"
13656,hjärtklaff,"Stora långfingret, vänsterriktat och inåtvänt, upprepade kontakter med vänstra sidan av bröstet //
Flata handen, vänsterriktad och inåtvänd, upprepade kontakter framför flata handen, högerriktad och inåtvänd som i sin tur har bibehållen kontakt med vänstra sidan av bröstet"
15029,mutter,"Hållhanden, framåtriktad och vänstervänd, tumhanden strör ett par gånger ovanför nyphanden, framåtriktad och högervänd"
06939,klockare,"Knutna händer, framåtriktade och vända mot varandra, den högra handen i kontakt ovanpå den vänstra, förs nedåt ett par gånger //
Måtthanden, högerriktad och framåtvänd, förs nedåt"
19619,Geneve,"Raka måtthanden, vänsterriktad och uppåtvänd, kontakt med hakan, förs sedan nedåt samtidigt som förändras till nyphand"
00271,söder,"Flata handen, uppåtriktad och vänstervänd, förs nedåt samtidigt som den slås nedåt"
07195,vigsel,"Stora nyphanden, vänsterriktad och nedåtvänd, förs kort åt vänster med bibehållen kontakt ovanpå flata handen, högerriktad och nedåtvänd, förändras sedan till flat hand, kontakt //
Sprethänder, uppåtriktade och vända mot varandra förs nedåt vid sidorna av ansiktet samtidigt som fingrarna spelar"
00868,antik,"Sprethanden, framåtriktad och högervänd, förs åt vänster i vänstergående cirklar vid sidan av ansiktet"
08625,startpistol,"Hållhanden, framåtriktad och nedåtvänd, förs nedåt med medial kontakt bakom flata handen, högerriktad och inåtvänd, samtidigt som den slås nedåt // //
Pekfingret, framåtriktat och vänstervänt, fingret böjs ett par gånger"
01758,bryna,"Flata handen, framåtriktad och nedåtvänd, vrids åt vänster ovanför flata handen, högerriktad och uppåtvänd, upprepas"
01261,drömma,"A-handen, uppåtriktad och inåtvänd, förs i nedåtgående cirklar framför pannan"
19256,"Riksförbundet för döva, hörselskadade barn och barn med språkstörning",Bokstaveras: D-H-B
06619,Ängelholm,"Flata händer, riktade mot varandra och inåtvända, tummarna hakade i varandra, fingrarna vinkar ett par gånger //
Klohanden, framåtriktad och nedåtvänd, förs kort nedåt"
11394,ja/nej-fråga,"Tumvinkelhanden, uppåtriktad och framåtvänd, förs nedåt, samtidigt som den förändras till A-hand //
N-handen, vänsterriktad och inåtvänd, förs nedåt samtidigt som den slås nedåt //
Stora hållhanden, uppåtriktad och vänstervänd, kontakt med hakan förs sedan framåt"
15060,anställningsintervju,"Böjda tupphänder, riktade mot varandra och nedåtvända, förs inåt till samtidigt som de vrids inåt, kontakt med bröstet //
Hållhanden, uppåtriktad och vänstervänd, förs fram och tillbaka framför munnen"
14840,origami,Bokstaveras: O-R-I-G-A-M-I
19783,hörselnorm,"Pekfingret, vänsterriktat och nedåtvänt, kontakt bredvid örat, förs åt höger //
Flata handen, framåtriktad och nedåtvänd, förs nedåt med upprepade kontakter bredvid flata handen, uppåtriktad och högervänd"
08027,förra veckan,"Måtthanden, framåtriktad och nedåtvänd, kontakt ovanpå flata handen, högerriktad och uppåtvänd, förs sedan inåt och uppåt över höger axel samtidigt som den slås uppåt"
12373,delat med,"Vinkelhanden, uppåtriktad och framåtvänd, förs åt höger"
16182,Minnesota,Bokstaveras: M-I-N-N
00903,ris,"Sprethanden, framåtriktad och nedåtvänd, förs framåt med bibehållen kontakt ovanpå sprethanden, framåtriktad och nedåtvänd, upprepas"
08634,tvärtom,"Pekfingrar, framåtriktade och vända mot varandra, kors kontakt ovanpå varandra, byter plats med varandra, kontakt"
16116,AC Milan,"Pekfingrar, uppåtriktade och framåtvända, förs upp och ned växelvis ett par gånger"
08755,hål,Bokstaveras: H-Å-L
09013,reklamation,"Pekfingret, vänsterriktat och nedåtvänt, kontakt bredvid halsen, förs åt höger, upprepas"
12334,avta (om kurva),"Flata tumhanden, uppåtriktad och framåtvänd, förs åt höger samtidigt som den förändras till A-hand"
00631,lätt,"Flata händer, framåtriktade och uppåtvända, förs uppåt samtidigt som de förändras till tumhänder"
09844,Colombia,"S-handen, uppåtriktad och vänstervänd, vrids inåt ett par gånger med bibehållen kontakt (armbågen)ovanpå flata handen, högerriktad och uppåtvänd"
13704,kroppsvård,"Sprethänder, riktade mot varandra och inåtvända, förs nedåt med bibehållen kontakt med bröstet //
Sprethänder, uppåtriktade och framåtvända, förs åt vänster och höger ett par gånger"
13344,hjärtattack,"Pekfingret, inåtriktat och högervänt, upprepade kontakter med vänstra sidan av bröstet //
Knutna händer, uppåtriktade och vända mot varandra, korskontakt bakom varandra, förs sedan från varandra"
24462,socialtjänstlag,"Måtthanden, uppåtriktad och vänstervänd, kontakt först med hakan och sedan med pannan //
Flata handen, vänsterriktad och inåtvänd, förs nedåt med bibehållen kontakt med överarmen, upprepas //
Pekfingret, vänsterriktat och nedåtvänt, förs åt vänster till kontakt bredvid flata handen, uppåtriktad och högervänd"
08795,autism,"Flata händer, riktade från varandra och framåtvända, slås mot varandra framför huvudet"
11104,Stenberg,"Bokstaveras: S-T-E-N //
Knutna handen, framåtriktad och nedåtvänd, förs åt höger med medial kontakt med den andra knutna handen, högerriktad och uppåtvänd"
16144,RC Deportivo la Coruna,"Klohanden, uppåtriktad och vänstervänd, förs i framåtgående cirklar bredvid huvudet"
05193,undantag,"Vinkelhanden, vänsterriktad och framåtvänd, kontakt bredvid vinkelhanden, högerriktad och inåtvänd, förs åt höger"
03366,knapp,"Nyphanden, vänsterriktad och inåtvänd, förs i nedåtgående cirklar med bibehållen kontakt med bröstet"
12815,ungefär lika med,"Flata handen, framåtriktad och vänstervänd, förs åt vänster och höger ett par gånger med bibehållen kontakt ovanpå flata handen, högerriktad och uppåtvänd //
V-handen, vänsterriktad och inåtvänd, förs åt höger med små vågrörelser"
08422,ragga upp,"V-handen, framåtriktad och nedåtvänd, förs inåt samtidigt som den slås uppåt och fingrarna böjs"
16007,El Salvador,"S-handen, uppåtriktad och vänstervänd, kontakt med vänstra sidan av bröstet, förs nedåt och åt höger samtidigt som den förändras till knuten hand, kontakt med vänstra sidan av bröstet"
10991,borgerlig,"Tumhanden, vänsterriktad och nedåtvänd, kontakt med magen, förs nedåt i en framåtgående båge, kontakt"
17366,panter,"Klohänder, uppåtriktade och framåtvända, förs framåt"
19126,sirap,Bokstaveras: S-I-R-A-P
13420,känsel,"N-handen, framåtriktad och nedåtvänd, förs åt vänster och höger ett par gånger med bibehållen kontakt ovanpå N-handen, högerriktad och nedåtvänd"
16227,dövförening,"Flata handen, uppåtriktad och vänstervänd, kontakt med kinden //
Måtthänder, framåtriktade och vända mot varandra, förs mot varandra till kontakt med varandra"
15342,störningar i produktionen,"Flata handen, framåtriktad och vänstervänd, förs framåt ett par gånger med medial kontakt ovanpå flata handen, högerriktad och inåtvänd
 //
Lillfingret, nedåtriktat och inåtvänt, förs kort nedåt //
Flata händer, nedåtriktade och vänstervända, förs åt vänster samtidigt som de slås åt vänster, upprepas"
07819,industri,"Sprethänder, riktade mot varandra och inåtvända, slås upp och ned ett par gånger flätade i varandra"
07962,biverkning,"Bokstaveras: B-I //
O-handen, framåtriktad och vänstervänd, kontakt bredvid flata handen, framåtriktad och högervänd, förs åt höger samtidigt som den förändras till sprethand, upprepas"
17860,coda,"S-handen, uppåtriktad och vänstervänd, kontakt med bröstet, förs uppåt, kontakt"
07931,ishockeyklubba,"Knutna händer, nedåtriktade, den högra inåtvänd och den vänstra framåtvänd, förs kort nedåt, upprepas"
13120,vändningskontrollant,"N-handen, inåtriktad och nedåtvänd, förs framåt samtidigt som den slås framåt, kontakt bakom flata handen, högerriktad och inåtvänd, förs slutligen inåt samtidigt som den vrids nedåt //
Dubbelkroken, framåtriktad och nedåtvänd, förs åt vänster med medial kontakt ovanpå knutna handen, högerriktad och inåtvänd, förs slutligen åt höger med medial kontakt"
18703,Wadköping,"Bokstaveras: W-A-D //
A-handen, nedåtriktad och vänstervänd, upprepade kontakter ovanpå flata handen, högerriktad och uppåtvänd"
24543,utsättas för,"Pekfingret, vänsterriktat och inåtvänt, kontakt med näsan //
Pekfingret, vänsterriktat och nedåtvänt, förs inåt till kontakt med bröstet"
16111,Sevilla FC,"N-handen, uppåtriktad och inåtvänd, förs i vänstergående cirklar"
06568,Vilhelmina,"V-handen, vänsterriktad och inåtvänd, upprepade kontakter med vänstra sidan av bröstet"
18719,smekmånad,"Vinkelhanden, vänsterriktad och inåtvänd, förs nedåt med bibehållen kontakt med kinden //
Flata handen, framåtriktad och uppåtvänd, kontakt med flata handen, högerriktad och uppåtvänd, vrids nedåt, kontakt"
02650,jämnårig,"Vinkelhänder, uppåtriktade och vända mot varandra, kontakt med varandra, förs från varandra //
Sprethanden, vänsterriktad och nedåtvänd, förs åt höger framför pannan med spelande fingrar"
03847,medborgare,"Hållhanden, framåtriktad och nedåtvänd, kontakt bakom flata handen, högerriktad och inåtvänd, förs först kort uppåt och sedan nedåt med medial kontakt samtidigt som den slås nedåt"
08507,Riga,"Pekfingret, vänsterriktat och nedåtvänt, vrids inåt ett par gånger med bibehållen kontakt vid sidan av halsen"
03306,prata med varandra,"Raka måtthänder, uppåtriktade och vända mot varandra, den högra bakom den vänstra, förändras till nyphänder ett par gånger framför munnen"
17177,kakmonster,"Klohanden, framåtriktad och nedåtvänd, upprepade kontakter ovanpå flata handen, högerriktad och uppåtvänd //
Klohänder, uppåtriktade och framåtvända, förs kort framåt, upprepas"
14329,klassisk distans,"S-händer, framåtriktade och vända mot varandra, förs mot varandra, kontakt //
Tumhanden, framåtriktad och vänstervänd, kontakt framför tumhanden, förs framåt i en uppåtgående båge"
24471,solglasögon,"O-handen, uppåtriktad och framåtvänd, förs framåt från ansiktet samtidigt som den förändras till sprethand //
Pekfingrar, inåtriktade och nedåtvända, förs i nedåtgående cirkel mot varandra framför ögonen förs slutligen inåt mot respektive sida av öronen"
00150,ved,"Flata handen, vänsterriktad och inåtvänd, förs inåt med upprepade kontakter ovanpå underarmen, framåtriktad och högervänd"
10408,bageri,"Vinkelhänder, uppåtriktade och framåtvända, förs framåt samtidigt som de slås framåt, upprepas"
12888,ödem,Bokstaveras: Ö-D-E-M
08156,bokstavera,"Klohanden, uppåtriktad och framåtvänd, förs åt höger med spelande fingrar"
06629,Örebro,"Stora nyphanden, vänsterriktad och inåtvänd, vrids nedåt, kontakt med högra sidan av bröstet"
10971,missing points,"Måtthanden, vänsterriktad och inåtvänd, kontakt med näsan, förs framåt samtidigt som den förändras till hållhand //
Stora nyphanden, framåtriktad och vänstervänd, förs uppåt"
19832,mandelmassa,"Tumhanden, uppåtriktad och vänstervänd, kontakt med munnen, förs kort framåt, upprepas //
Bokstaveras: M-A-S-S-A"
03711,mallig,"Pekfingret, vänsterriktat och nedåtvänt, förs kort uppåt med medial kontakt med näsan"
03358,vodka,"Nyphanden, uppåtriktad och vänstervänd, kontakt vid sidan av halsen, förs åt höger samtidigt som den förändras till L-hand"
10749,bordsavgift,"Flata händer, framåtriktade och nedåtvända, kontakt med varandra, förs från varandra //
Tumhanden, framåtriktad och högervänd, förs framåt under kontakt med den flata handen"
20230,lakan,"Knutna händer, framåtriktade och nedåtvända, slås nedåt ett par gånger"
19670,Grenada,"Raka måtthanden, uppåtriktad och vänstervänd, förs i vänstergående cirklar med bibehållen kontakt ovanpå flata handen, högerriktad och nedåtvänd"
13318,komplettering,"A-handen, uppåtriktad och vänstervänd, förs uppåt med upprepade kontakter bredvid flata handen, uppåtriktad och högervänd"
05597,peruk,"A-händer, uppåtriktade och vända mot varandra, förs nedåt vid respektive sida av huvudet, upprepas"
24589,resiliens,"Måtthänder, framåtriktade och vända mot varandra, förs nedåt med bibehållen kontakt med bröstet"
20140,dövföreningar,"Måtthanden, framåtriktad och vänstervänd, kontakt med kinden //
Måtthänder, framåtriktade och vända mot varandra, förs åt höger med upprepade kontakter med varandra"
03655,bearbeta,"Bokstaveras: B-E //
Knutna handen, framåtriktad och vänstervänd, förs kort åt vänster med medial kontakt ovanpå knutna handen, högerriktad och inåtvänd"
02451,nalle,"Flata handen, uppåtriktad och vänstervänd, förs nedåt framför ansiktet //
Flata handen, vänsterriktad och nedåtvänd, förs åt höger framför ansiktet"
13263,dränage,"Sprethanden, nedåtriktad och vänstervänd, förs nedåt med medial kontakt bredvid sprethanden, högerriktad och uppåtvänd, upprepas"
19436,intern,"Lillfingret, uppåtriktat och inåtvänt, förs i inåtgående cirklar bakom flata handen, högerriktad och inåtvänd"
04779,Folkpartiet,Bokstaveras: F-P
09220,strösocker,"Flata tumhanden, framåtriktad och nedåtvänd, kontakt ovanpå flata handen, högerriktad och uppåtvänd, förs sedan uppåt samtidigt som den förändras till A-hand //
Pekfingret, framåtriktat och vänstervänt, upprepade kontakter ovanpå pekfingret, högerriktat och inåtvänt"
12912,epilepsi,"Pekfingret, uppåtriktat och vänstervänt, förs uppåt med medial kontakt med hakan"
05226,ömtålig,"Flata handen, framåtriktad och nedåtvänd, förs nedåt till kontakt ovanpå flata handen, högerriktad och nedåtvänd, förs slutligen uppåt och åt höger samtidigt som den vrids åt vänster"
15180,tjänsteman,"Flata handen, vänsterriktad och nedåtvänd, förs framåt med bibehållen kontakt ovanpå underarmen, framåtriktad och nedåtvänd, upprepas //
Tumvinkelhanden, uppåtriktad och vänstervänd, kontakt med pannan, förs sedan framåt samtidigt som den förändras till A-hand"
02899,granne,"Pekfingrar, framåtriktade och nedåtvända, upprepade kontakter bredvid varandra"
03380,tunnel,"Pekfingret, framåtriktat och vänstervänt, förs i uppåtgående cirkel under flata handen, högerriktad och nedåtvänd"
25009,huvudförhandling,"Pekfingret, inåtriktat och nedåtvänt, förs i nedåtgående cirklar runt ansiktet //
Pekfingrar, uppåtriktade och inåtvända, förs i inåtgående växelvisa cirklar framför munnen"
